"censoring","r_char","method","zeta_mean","bias","emp_sd","mean_pred_cvg","sd_pred_cvg"
"low","r1","true",6.56,NA,0.006,0.899,0.003
"low","r1","mis1",6.563,NA,0.006,0.899,0.003
"low","r1","mis2",6.549,NA,0.014,0.899,0.003
"low","r1","scp",6.587,NA,0.252,0.9,0.014
"low","r1","fcp",6.543,NA,0.177,0.899,0.01
"low","r1","jackknife",6.556,NA,0.178,0.899,0.01
"low","r2","true",6.678,NA,0.02,0.901,0.003
"low","r2","mis1",6.676,NA,0.019,0.901,0.003
"low","r2","mis2",6.642,NA,0.043,0.899,0.004
"low","r2","scp",6.679,NA,0.258,0.9,0.014
"low","r2","fcp",6.636,NA,0.183,0.9,0.01
"low","r2","jackknife",6.649,NA,0.183,0.899,0.01
"low","r1star","true",6.566,NA,0.009,0.899,0.003
"low","r1star","mis1",6.572,NA,0.009,0.899,0.003
"low","r1star","mis2",6.569,NA,0.025,0.899,0.003
"low","r1star","scp",6.605,NA,0.252,0.9,0.014
"low","r1star","fcp",6.559,NA,0.177,0.9,0.01
"low","r1star","jackknife",6.572,NA,0.177,0.899,0.01
"lowmid","r1","true",6.597,NA,0.015,0.899,0.003
"lowmid","r1","mis1",6.608,NA,0.017,0.9,0.003
"lowmid","r1","mis2",6.589,NA,0.018,0.899,0.003
"lowmid","r1","scp",6.628,NA,0.256,0.9,0.014
"lowmid","r1","fcp",6.588,NA,0.182,0.9,0.01
"lowmid","r1","jackknife",6.601,NA,0.182,0.899,0.01
"lowmid","r2","true",6.8,NA,0.041,0.9,0.004
"lowmid","r2","mis1",6.818,NA,0.042,0.901,0.004
"lowmid","r2","mis2",6.786,NA,0.048,0.899,0.004
"lowmid","r2","scp",6.831,NA,0.259,0.9,0.013
"lowmid","r2","fcp",6.781,NA,0.188,0.9,0.01
"lowmid","r2","jackknife",6.793,NA,0.189,0.899,0.01
"lowmid","r1star","true",6.627,NA,0.018,0.899,0.003
"lowmid","r1star","mis1",6.637,NA,0.019,0.9,0.003
"lowmid","r1star","mis2",6.615,NA,0.024,0.899,0.003
"lowmid","r1star","scp",6.672,NA,0.25,0.901,0.013
"lowmid","r1star","fcp",6.619,NA,0.182,0.9,0.01
"lowmid","r1star","jackknife",6.632,NA,0.182,0.899,0.01
"mid","r1","true",6.65,NA,0.02,0.899,0.003
"mid","r1","mis1",6.671,NA,0.025,0.9,0.003
"mid","r1","mis2",6.659,NA,0.021,0.899,0.003
"mid","r1","scp",6.686,NA,0.26,0.9,0.014
"mid","r1","fcp",6.649,NA,0.186,0.9,0.01
"mid","r1","jackknife",6.663,NA,0.186,0.899,0.01
"mid","r2","true",7.052,NA,0.079,0.9,0.004
"mid","r2","mis1",7.063,NA,0.082,0.901,0.004
"mid","r2","mis2",7.038,NA,0.075,0.9,0.004
"mid","r2","scp",7.067,NA,0.289,0.9,0.014
"mid","r2","fcp",7.028,NA,0.205,0.9,0.01
"mid","r2","jackknife",7.041,NA,0.205,0.899,0.01
"mid","r1star","true",6.728,NA,0.032,0.899,0.003
"mid","r1star","mis1",6.743,NA,0.034,0.9,0.003
"mid","r1star","mis2",6.733,NA,0.031,0.9,0.003
"mid","r1star","scp",6.771,NA,0.265,0.9,0.014
"mid","r1star","fcp",6.721,NA,0.193,0.9,0.01
"mid","r1star","jackknife",6.734,NA,0.193,0.899,0.01
"highmid","r1","true",6.733,NA,0.037,0.899,0.004
"highmid","r1","mis1",6.754,NA,0.045,0.9,0.004
"highmid","r1","mis2",6.734,NA,0.036,0.899,0.004
"highmid","r1","scp",6.765,NA,0.262,0.9,0.014
"highmid","r1","fcp",6.743,NA,0.185,0.9,0.01
"highmid","r1","jackknife",6.756,NA,0.186,0.899,0.01
"highmid","r2","true",7.302,NA,0.128,0.898,0.005
"highmid","r2","mis1",7.37,NA,0.156,0.901,0.005
"highmid","r2","mis2",7.316,NA,0.135,0.899,0.005
"highmid","r2","scp",7.362,NA,0.304,0.9,0.013
"highmid","r2","fcp",7.322,NA,0.225,0.9,0.01
"highmid","r2","jackknife",7.334,NA,0.226,0.899,0.01
"highmid","r1star","true",6.852,NA,0.06,0.899,0.004
"highmid","r1star","mis1",6.879,NA,0.069,0.901,0.004
"highmid","r1star","mis2",6.856,NA,0.058,0.899,0.004
"highmid","r1star","scp",6.906,NA,0.262,0.901,0.013
"highmid","r1star","fcp",6.846,NA,0.189,0.9,0.01
"highmid","r1star","jackknife",6.859,NA,0.19,0.899,0.01
"high","r1","true",6.805,NA,0.054,0.899,0.004
"high","r1","mis1",6.827,NA,0.063,0.9,0.004
"high","r1","mis2",6.796,NA,0.049,0.899,0.004
"high","r1","scp",6.838,NA,0.266,0.9,0.014
"high","r1","fcp",6.844,NA,0.208,0.9,0.01
"high","r1","jackknife",6.857,NA,0.208,0.899,0.01
"high","r2","true",7.602,NA,0.208,0.899,0.006
"high","r2","mis1",7.649,NA,0.23,0.902,0.006
"high","r2","mis2",7.551,NA,0.197,0.898,0.006
"high","r2","scp",7.635,NA,0.366,0.9,0.014
"high","r2","fcp",7.598,NA,0.268,0.9,0.01
"high","r2","jackknife",7.609,NA,0.268,0.899,0.01
"high","r1star","true",6.959,NA,0.087,0.899,0.005
"high","r1star","mis1",6.994,NA,0.102,0.901,0.005
"high","r1star","mis2",6.956,NA,0.081,0.899,0.005
"high","r1star","scp",7.04,NA,0.28,0.902,0.013
"high","r1star","fcp",6.986,NA,0.217,0.9,0.01
"high","r1star","jackknife",6.998,NA,0.218,0.899,0.01
